order_id,Customer ID,product_id,Quantity,Order Date,Status
5001,2002,1,4,2024-10-29,Delivered
5002,2003,5,1,2024-12-24,Returned
5003,2031,2,1,2024-11-21,Cancelled
5004,2009,6,1,2024-06-08,Delivered
5005,2024,9,1,2024-08-19,Cancelled
5006,2022,3,3,2024-12-26,Delivered
5007,2005,8,4,2024-12-16,Delivered
5008,2001,10,4,2024-09-12,Delivered
5009,2039,1,1,2024-10-25,Delivered
5010,2008,11,3,2024-02-16,Delivered
5011,2038,7,4,2024-06-18,Delivered
5012,2006,9,1,2024-08-24,Delivered
5013,2031,2,1,2024-11-03,Delivered
5014,2032,2,4,2024-12-23,Delivered
5015,2020,6,2,2024-01-06,Cancelled
5016,2034,4,2,2024-11-09,Delivered
5017,2032,8,2,2024-12-03,Delivered
5018,2017,11,2,2024-07-26,Cancelled
5019,2014,4,4,2024-08-08,Delivered
5020,2014,6,2,2024-10-25,Delivered
5021,2003,6,1,2024-09-11,Delivered
5022,2029,2,4,2024-03-27,Delivered
5023,2025,7,4,2024-04-19,Cancelled
5024,2040,12,4,2024-06-10,Delivered
5025,2018,1,1,2024-02-08,Cancelled
5026,2037,5,3,2024-12-28,Delivered
5027,2002,10,2,2024-11-28,Delivered
5028,2002,4,3,2024-08-20,Delivered
5029,2008,1,4,2024-03-13,Delivered
5030,2024,9,1,2024-11-18,Cancelled
5031,2031,4,3,2024-04-11,Delivered
5032,2035,8,1,2024-01-06,Delivered
5033,2023,5,2,2024-04-25,Delivered
5034,2006,4,4,2024-12-24,Cancelled
5035,2029,3,4,2024-07-17,Delivered
5036,2025,1,3,2024-11-16,Delivered
5037,2014,11,1,2024-06-16,Cancelled
5038,2008,12,2,2024-11-24,Delivered
5039,2020,2,3,2024-07-18,Delivered
5040,2033,6,1,2024-01-09,Delivered
5041,2036,6,4,2024-08-13,Delivered
5042,2014,1,1,2024-09-06,Delivered
5043,2035,3,3,2024-01-18,Cancelled
5044,2010,8,4,2024-03-12,Delivered
5045,2006,12,2,2024-10-23,Delivered
5046,2019,9,2,2024-09-26,Returned
5047,2017,9,3,2024-09-20,Cancelled
5048,2014,10,3,2024-07-14,Delivered
5049,2018,9,4,2024-10-05,Delivered
5050,2008,9,1,2024-07-29,Returned
5051,2035,1,1,2024-07-12,Returned
